Reproducibility seed set to 42
Detected kernel version 4.19.90, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
`torch_dtype` is deprecated! Use `dtype` instead!
You are attempting to use Flash Attention 2 without specifying a torch dtype. This might lead to unexpected behaviour
Epoch 0 | Step 0 | Loss: 15.1341
Epoch 0 | Step 1 | Loss: 15.0652
Epoch 0 | Step 2 | Loss: 14.6685
Epoch 0 | Step 3 | Loss: 14.7097
Epoch 0 | Step 4 | Loss: 14.0547
Epoch 0 | Step 5 | Loss: 14.8862
Epoch 0 | Step 6 | Loss: 14.0918
Epoch 0 | Step 7 | Loss: 14.1415
Epoch 0 | Step 8 | Loss: 14.1399
Epoch 0 | Step 9 | Loss: 14.5201
Epoch 0 | Step 10 | Loss: 13.5658
Epoch 0 | Step 11 | Loss: 14.0287
Epoch 0 | Step 12 | Loss: 14.0007
Epoch 0 | Step 13 | Loss: 14.5537
Epoch 0 | Step 14 | Loss: 15.0629
Epoch 0 | Step 15 | Loss: 13.1930
Epoch 0 | Step 16 | Loss: 14.5550
Epoch 0 | Step 17 | Loss: 13.8371
Epoch 0 | Step 18 | Loss: 14.2490
Epoch 0 | Step 19 | Loss: 13.4784
Epoch 0 | Step 20 | Loss: 13.2399
Epoch 0 | Step 21 | Loss: 13.8258
Epoch 0 | Step 22 | Loss: 13.3384
Epoch 0 | Step 23 | Loss: 14.5252
Epoch 0 | Step 24 | Loss: 13.7691
Epoch 0 | Step 25 | Loss: 14.0172
Epoch 0 | Step 26 | Loss: 13.7430
Epoch 0 | Step 27 | Loss: 13.8780
Epoch 0 | Step 28 | Loss: 13.2261
Epoch 0 | Step 29 | Loss: 12.9035
Epoch 0 | Step 30 | Loss: 14.1781
Epoch 0 | Step 31 | Loss: 13.2132
Epoch 0 | Step 32 | Loss: 13.3725
Epoch 0 | Step 33 | Loss: 13.0722
Epoch 0 | Step 34 | Loss: 13.3001
Epoch 0 | Step 35 | Loss: 13.7424
Epoch 0 | Step 36 | Loss: 13.5944
Epoch 0 | Step 37 | Loss: 13.5790
Epoch 0 | Step 38 | Loss: 14.0418
Epoch 0 | Step 39 | Loss: 13.1555
Epoch 0 | Step 40 | Loss: 12.9237
Epoch 0 | Step 41 | Loss: 13.4585
Epoch 0 | Step 42 | Loss: 13.2054
Epoch 0 | Step 43 | Loss: 13.1883
Epoch 0 | Step 44 | Loss: 13.5551
Epoch 0 | Step 45 | Loss: 13.3404
Epoch 0 | Step 46 | Loss: 14.2242
Epoch 0 | Step 47 | Loss: 13.4325
Epoch 0 | Step 48 | Loss: 13.5179
Epoch 0 | Step 49 | Loss: 13.0064
Epoch 0 | Step 50 | Loss: 12.9745
Epoch 0 | Step 51 | Loss: 13.5760
Epoch 0 | Step 52 | Loss: 12.9784
Epoch 0 | Step 53 | Loss: 13.8508
Epoch 0 | Step 54 | Loss: 13.4318
Epoch 0 | Step 55 | Loss: 12.8588
Epoch 0 | Step 56 | Loss: 13.9345
Epoch 0 | Step 57 | Loss: 13.3340
Epoch 0 | Step 58 | Loss: 12.9534
Epoch 0 | Step 59 | Loss: 13.7296
Epoch 0 | Step 60 | Loss: 12.9033
Epoch 0 | Step 61 | Loss: 13.8985
Epoch 0 | Step 62 | Loss: 13.2781
Epoch 0 | Step 63 | Loss: 13.2296
Epoch 0 | Step 64 | Loss: 13.3474
Epoch 0 | Step 65 | Loss: 13.2628
Epoch 0 | Step 66 | Loss: 12.6471
Epoch 0 | Step 67 | Loss: 12.4811
Epoch 0 | Step 68 | Loss: 12.8273
Epoch 0 | Step 69 | Loss: 12.8058
Epoch 0 | Step 70 | Loss: 13.1575
Epoch 0 | Step 71 | Loss: 12.3637
Epoch 0 | Step 72 | Loss: 12.5428
Epoch 0 | Step 73 | Loss: 13.2447
Epoch 0 | Step 74 | Loss: 12.9974
Epoch 0 | Step 75 | Loss: 13.5663
Epoch 0 | Step 76 | Loss: 12.1569
Epoch 0 | Step 77 | Loss: 12.7484
Epoch 0 | Step 78 | Loss: 12.9200
Epoch 0 | Step 79 | Loss: 12.2008
Epoch 0 | Step 80 | Loss: 11.8391
Epoch 0 | Step 81 | Loss: 12.3215
Epoch 0 | Step 82 | Loss: 12.6035
Epoch 0 | Step 83 | Loss: 12.4488
Epoch 0 | Step 84 | Loss: 12.4706
Epoch 0 | Step 85 | Loss: 12.1529
Epoch 0 | Step 86 | Loss: 13.2579
Epoch 0 | Step 87 | Loss: 11.9107
Epoch 0 | Step 88 | Loss: 12.2869
Epoch 0 | Step 89 | Loss: 12.7078
Epoch 1 | Step 0 | Loss: 11.6196
Epoch 1 | Step 1 | Loss: 13.0003
Epoch 1 | Step 2 | Loss: 12.0713
