"round","run_id","epoch","epoch_zero_based","step","loss","learning_rate","scheduler"
"round1_5epoch","lr1e-6","1","0","0","15.1341","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","1","15.0652","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","2","14.6685","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","3","14.7097","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","4","14.0547","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","5","14.8862","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","6","14.0918","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","7","14.1415","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","8","14.1399","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","9","14.5201","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","10","13.5658","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","11","14.0287","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","12","14.0007","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","13","14.5537","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","14","15.0629","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","15","13.193","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","16","14.555","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","17","13.8371","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","18","14.249","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","19","13.4784","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","20","13.2399","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","21","13.8258","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","22","13.3384","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","23","14.5252","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","24","13.7691","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","25","14.0172","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","26","13.743","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","27","13.878","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","28","13.2261","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","29","12.9035","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","30","14.1781","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","31","13.2132","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","32","13.3725","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","33","13.0722","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","34","13.3001","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","35","13.7424","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","36","13.5944","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","37","13.579","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","38","14.0418","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","39","13.1555","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","40","12.9237","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","41","13.4585","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","42","13.2054","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","43","13.1883","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","44","13.5551","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","45","13.3404","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","46","14.2242","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","47","13.4325","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","48","13.5179","1E-06","constant"
"round1_5epoch","lr1e-6","1","0","49","13.0064","1E-06","constant"
