"relative_path","bytes","size_mib","extension"
".gitattributes","133","0.000127",".gitattributes"
".gitignore","82","7.8E-05",".gitignore"
"data/metadata/test_ids.txt","140","0.000134",".txt"
"data/metadata/test_raw.jsonl","4963","0.004733",".jsonl"
"data/metadata/text_200.txt","10540","0.010052",".txt"
"data/metadata/train_ids.txt","1260","0.001202",".txt"
"data/metadata/train_raw.jsonl","45777","0.043656",".jsonl"
"data/processed/train_with_codes.jsonl","1055990","1.007071",".jsonl"
"data/test_texts.csv","1450","0.001383",".csv"
"data/train_texts.csv","13964","0.013317",".csv"
"environment/round1_5epoch/core_versions.txt","184","0.000175",".txt"
"environment/round1_5epoch/nvidia_smi.txt","1689","0.001611",".txt"
"environment/round1_5epoch/pip_freeze.txt","1743","0.001662",".txt"
"environment/round2_8epoch_cosine/core_versions.txt","190","0.000181",".txt"
"environment/round2_8epoch_cosine/nvidia_smi.txt","1689","0.001611",".txt"
"environment/round2_8epoch_cosine/pip_freeze.txt","1743","0.001662",".txt"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch0_seen_style.wav","422444","0.402874",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch0_unseen_long.wav","403244","0.384563",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch0_unseen_short.wav","222764","0.212444",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch1_seen_style.wav","330284","0.314983",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch1_unseen_long.wav","433964","0.41386",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch1_unseen_short.wav","222764","0.212444",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch2_seen_style.wav","280364","0.267376",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch2_unseen_long.wav","380204","0.362591",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch2_unseen_short.wav","215084","0.20512",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch3_seen_style.wav","284204","0.271038",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch3_unseen_long.wav","403244","0.384563",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch3_unseen_short.wav","222764","0.212444",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch4_seen_style.wav","307244","0.293011",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch4_unseen_long.wav","407084","0.388226",".wav"
"experiments/round1_5epoch/lr1e-6/audio/compare_audio/epoch4_unseen_short.wav","222764","0.212444",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/metadata.tsv","1166","0.001112",".tsv"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_010.wav","107564","0.102581",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_020.wav","107564","0.102581",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_030.wav","88364","0.08427",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_040.wav","176684","0.168499",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_050.wav","92204","0.087933",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_060.wav","88364","0.08427",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_070.wav","126764","0.120892",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_080.wav","188204","0.179485",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_090.wav","88364","0.08427",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_100.wav","122924","0.117229",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_110.wav","199724","0.190472",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_120.wav","126764","0.120892",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_130.wav","157484","0.150188",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_140.wav","115244","0.109905",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_150.wav","111404","0.106243",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_160.wav","161324","0.153851",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_170.wav","180524","0.172161",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_180.wav","222764","0.212444",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_190.wav","199724","0.190472",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch0/test_200.wav","130604","0.124554",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/metadata.tsv","1166","0.001112",".tsv"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_010.wav","99884","0.095257",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_020.wav","107564","0.102581",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_030.wav","99884","0.095257",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_040.wav","172844","0.164837",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_050.wav","84524","0.080608",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_060.wav","88364","0.08427",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_070.wav","126764","0.120892",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_080.wav","180524","0.172161",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_090.wav","88364","0.08427",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_100.wav","130604","0.124554",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_110.wav","192044","0.183147",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_120.wav","142124","0.13554",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_130.wav","157484","0.150188",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_140.wav","115244","0.109905",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_150.wav","99884","0.095257",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_160.wav","172844","0.164837",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_170.wav","184364","0.175823",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_180.wav","211244","0.201458",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_190.wav","199724","0.190472",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch1/test_200.wav","130604","0.124554",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch2/metadata.tsv","1166","0.001112",".tsv"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch2/test_010.wav","92204","0.087933",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch2/test_020.wav","107564","0.102581",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch2/test_030.wav","92204","0.087933",".wav"
"experiments/round1_5epoch/lr1e-6/audio/test20/epoch2/test_040.wav","176684","0.168499",".wav"
